,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride,time,mlups,bandwidth,compute
0,A100-SXM4-80GB,CUDA Explicit Memory,2,1,1,1024,2,double,1,290.269,0.00705551,5.64441e-05,0.92478
1,A100-SXM4-80GB,CUDA Explicit Memory,3,1,1,1024,2,double,1,290.356,0.0105801,8.4641e-05,1.38676
2,A100-SXM4-80GB,CUDA Explicit Memory,4,1,1,1024,2,double,1,290.288,0.0141101,0.000112881,1.84944
3,A100-SXM4-80GB,CUDA Explicit Memory,5,1,1,1024,2,double,1,290.317,0.0176359,0.000141087,2.31157
4,A100-SXM4-80GB,CUDA Explicit Memory,6,1,1,1024,2,double,1,290.246,0.0211683,0.000169346,2.77457
5,A100-SXM4-80GB,CUDA Explicit Memory,7,1,1,1024,2,double,1,290.311,0.0246908,0.000197526,3.23627
6,A100-SXM4-80GB,CUDA Explicit Memory,8,1,1,1024,2,double,1,290.29,0.02822,0.00022576,3.69886
7,A100-SXM4-80GB,CUDA Explicit Memory,9,1,1,1024,2,double,1,290.305,0.031746,0.000253968,4.16101
8,A100-SXM4-80GB,CUDA Explicit Memory,10,1,1,1024,2,double,1,290.283,0.0352759,0.000282207,4.62368
9,A100-SXM4-80GB,CUDA Explicit Memory,11,1,1,1024,2,double,1,290.274,0.0388048,0.000310438,5.08622
10,A100-SXM4-80GB,CUDA Explicit Memory,12,1,1,1024,2,double,1,290.324,0.0423252,0.000338601,5.54765
11,A100-SXM4-80GB,CUDA Explicit Memory,13,1,1,1024,2,double,1,290.288,0.0458579,0.000366863,6.01069
12,A100-SXM4-80GB,CUDA Explicit Memory,14,1,1,1024,2,double,1,290.314,0.0493809,0.000395048,6.47246
13,A100-SXM4-80GB,CUDA Explicit Memory,16,1,1,1024,2,double,1,290.312,0.0564358,0.000451487,7.39716
14,A100-SXM4-80GB,CUDA Explicit Memory,17,1,1,1024,2,double,1,290.315,0.0599625,0.0004797,7.85941
15,A100-SXM4-80GB,CUDA Explicit Memory,18,1,1,1024,2,double,1,290.329,0.0634866,0.000507893,8.32131
16,A100-SXM4-80GB,CUDA Explicit Memory,19,1,1,1024,2,double,1,290.407,0.0669956,0.000535965,8.78124
17,A100-SXM4-80GB,CUDA Explicit Memory,21,1,1,1024,2,double,1,290.329,0.0740676,0.000592541,9.70819
18,A100-SXM4-80GB,CUDA Explicit Memory,22,1,1,1024,2,double,1,290.318,0.0775977,0.000620781,10.1709
19,A100-SXM4-80GB,CUDA Explicit Memory,24,1,1,1024,2,double,1,290.422,0.0846216,0.000676973,11.0915
20,A100-SXM4-80GB,CUDA Explicit Memory,25,1,1,1024,2,double,1,290.384,0.088159,0.000705272,11.5552
21,A100-SXM4-80GB,CUDA Explicit Memory,27,1,1,1024,2,double,1,290.412,0.0952027,0.000761621,12.4784
22,A100-SXM4-80GB,CUDA Explicit Memory,29,1,1,1024,2,double,1,290.314,0.102289,0.000818315,13.4073
23,A100-SXM4-80GB,CUDA Explicit Memory,32,1,1,1024,2,double,1,290.395,0.112839,0.000902714,14.7901
24,A100-SXM4-80GB,CUDA Explicit Memory,34,1,1,1024,2,double,1,290.297,0.119932,0.000959457,15.7197
25,A100-SXM4-80GB,CUDA Explicit Memory,36,1,1,1024,2,double,1,290.381,0.12695,0.0010156,16.6396
26,A100-SXM4-80GB,CUDA Explicit Memory,39,1,1,1024,2,double,1,290.349,0.137545,0.00110036,18.0282
27,A100-SXM4-80GB,CUDA Explicit Memory,42,1,1,1024,2,double,1,290.354,0.148123,0.00118498,19.4147
28,A100-SXM4-80GB,CUDA Explicit Memory,45,1,1,1024,2,double,1,290.367,0.158696,0.00126957,20.8006
29,A100-SXM4-80GB,CUDA Explicit Memory,48,1,1,1024,2,double,1,290.306,0.169311,0.00135449,22.1919
30,A100-SXM4-80GB,CUDA Explicit Memory,51,1,1,1024,2,double,1,290.288,0.179904,0.00143923,23.5804
31,A100-SXM4-80GB,CUDA Explicit Memory,55,1,1,1024,2,double,1,290.379,0.193953,0.00155163,25.4219
32,A100-SXM4-80GB,CUDA Explicit Memory,59,1,1,1024,2,double,1,290.404,0.208041,0.00166433,27.2683
33,A100-SXM4-80GB,CUDA Explicit Memory,64,1,1,1024,2,double,1,290.368,0.2257,0.0018056,29.583
