,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
0,A40,CUDA Explicit Memory,2,1,1,1024,2,double,2123.03,0.000964657,7.71726e-06,0.12644
1,A40,CUDA Explicit Memory,3,1,1,1024,2,double,2123.05,0.00144698,1.15758e-05,0.189658
2,A40,CUDA Explicit Memory,4,1,1,1024,2,double,2123.03,0.00192931,1.54345e-05,0.252879
3,A40,CUDA Explicit Memory,5,1,1,1024,2,double,2123.04,0.00241164,1.92931e-05,0.316098
4,A40,CUDA Explicit Memory,6,1,1,1024,2,double,2123.03,0.00289398,2.31518e-05,0.37932
5,A40,CUDA Explicit Memory,7,1,1,1024,2,double,2123.03,0.0033763,2.70104e-05,0.442539
6,A40,CUDA Explicit Memory,8,1,1,1024,2,double,2123.05,0.00385859,3.08688e-05,0.505754
7,A40,CUDA Explicit Memory,9,1,1,1024,2,double,2123.05,0.00434092,3.47274e-05,0.568973
8,A40,CUDA Explicit Memory,10,1,1,1024,2,double,2123.05,0.00482325,3.8586e-05,0.632193
9,A40,CUDA Explicit Memory,11,1,1,1024,2,double,2123.05,0.00530557,4.24446e-05,0.695412
10,A40,CUDA Explicit Memory,12,1,1,1024,2,double,2123.04,0.00578792,4.63033e-05,0.758634
11,A40,CUDA Explicit Memory,13,1,1,1024,2,double,2123.05,0.00627023,5.01618e-05,0.821851
12,A40,CUDA Explicit Memory,14,1,1,1024,2,double,2123.06,0.00675251,5.40201e-05,0.885065
13,A40,CUDA Explicit Memory,16,1,1,1024,2,double,2123.03,0.00771727,6.17382e-05,1.01152
14,A40,CUDA Explicit Memory,17,1,1,1024,2,double,2123.04,0.00819956,6.55965e-05,1.07473
15,A40,CUDA Explicit Memory,18,1,1,1024,2,double,2123.06,0.0086818,6.94544e-05,1.13794
16,A40,CUDA Explicit Memory,19,1,1,1024,2,double,2123.04,0.00916422,7.33137e-05,1.20117
17,A40,CUDA Explicit Memory,21,1,1,1024,2,double,2123.05,0.0101288,8.10307e-05,1.32761
18,A40,CUDA Explicit Memory,22,1,1,1024,2,double,2123.05,0.0106111,8.4889e-05,1.39082
19,A40,CUDA Explicit Memory,24,1,1,1024,2,double,2123.05,0.0115758,9.26064e-05,1.51726
20,A40,CUDA Explicit Memory,25,1,1,1024,2,double,2123.05,0.0120581,9.64651e-05,1.58048
21,A40,CUDA Explicit Memory,27,1,1,1024,2,double,2123.03,0.0130229,0.000104183,1.70694
22,A40,CUDA Explicit Memory,29,1,1,1024,2,double,2123.04,0.0139875,0.0001119,1.83337
23,A40,CUDA Explicit Memory,32,1,1,1024,2,double,2123.05,0.0154344,0.000123475,2.02302
24,A40,CUDA Explicit Memory,34,1,1,1024,2,double,2123.05,0.016399,0.000131192,2.14945
25,A40,CUDA Explicit Memory,36,1,1,1024,2,double,2123.05,0.0173637,0.000138909,2.27589
26,A40,CUDA Explicit Memory,39,1,1,1024,2,double,2123.05,0.0188107,0.000150486,2.46556
27,A40,CUDA Explicit Memory,42,1,1,1024,2,double,2123.06,0.0202575,0.00016206,2.6552
