,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
0,H100,CUDA Explicit Memory,2,1,1,1024,2,double,272.131,0.0075258,6.02064e-05,0.986421
1,H100,CUDA Explicit Memory,3,1,1,1024,2,double,271.99,0.0112945,9.03561e-05,1.48039
2,H100,CUDA Explicit Memory,4,1,1,1024,2,double,272.082,0.0150543,0.000120434,1.9732
3,H100,CUDA Explicit Memory,5,1,1,1024,2,double,271.944,0.0188274,0.000150619,2.46775
4,H100,CUDA Explicit Memory,6,1,1,1024,2,double,271.985,0.0225895,0.000180716,2.96085
5,H100,CUDA Explicit Memory,7,1,1,1024,2,double,271.976,0.0263552,0.000210842,3.45443
6,H100,CUDA Explicit Memory,8,1,1,1024,2,double,272.022,0.0301152,0.000240922,3.94726
7,H100,CUDA Explicit Memory,9,1,1,1024,2,double,271.97,0.0338861,0.000271089,4.44151
8,H100,CUDA Explicit Memory,10,1,1,1024,2,double,272.141,0.0376276,0.000301021,4.93192
9,H100,CUDA Explicit Memory,11,1,1,1024,2,double,272.025,0.0414079,0.000331264,5.42742
10,H100,CUDA Explicit Memory,12,1,1,1024,2,double,272.057,0.0451669,0.000361336,5.92012
11,H100,CUDA Explicit Memory,13,1,1,1024,2,double,271.989,0.0489431,0.000391545,6.41507
12,H100,CUDA Explicit Memory,14,1,1,1024,2,double,272.04,0.0526982,0.000421585,6.90726
13,H100,CUDA Explicit Memory,16,1,1,1024,2,double,271.952,0.0602459,0.000481967,7.89655
14,H100,CUDA Explicit Memory,17,1,1,1024,2,double,271.955,0.0640105,0.000512084,8.38998
15,H100,CUDA Explicit Memory,18,1,1,1024,2,double,271.998,0.0677653,0.000542122,8.88213
16,H100,CUDA Explicit Memory,19,1,1,1024,2,double,272.03,0.0715216,0.000572173,9.37448
17,H100,CUDA Explicit Memory,21,1,1,1024,2,double,271.961,0.0790703,0.000632562,10.3639
18,H100,CUDA Explicit Memory,22,1,1,1024,2,double,272.131,0.0827835,0.000662268,10.8506
19,H100,CUDA Explicit Memory,24,1,1,1024,2,double,271.978,0.0903601,0.000722881,11.8437
20,H100,CUDA Explicit Memory,25,1,1,1024,2,double,272.129,0.0940729,0.000752583,12.3303
21,H100,CUDA Explicit Memory,27,1,1,1024,2,double,272.007,0.101644,0.000813156,13.3227
22,H100,CUDA Explicit Memory,29,1,1,1024,2,double,271.969,0.109189,0.000873512,14.3116
23,H100,CUDA Explicit Memory,32,1,1,1024,2,double,271.941,0.120497,0.000963974,15.7938
24,H100,CUDA Explicit Memory,34,1,1,1024,2,double,271.977,0.128011,0.00102409,16.7787
25,H100,CUDA Explicit Memory,36,1,1,1024,2,double,272.031,0.135514,0.00108411,17.7621
