,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride_read,stride_write,time,mlups,bandwidth,compute
0,A40,CUDA Explicit Memory,2,1,1,1024,2,double,1,1,2.31457,0.88483,0.0141573,0.00088483
1,A40,CUDA Explicit Memory,3,1,1,1024,2,double,1,1,2.29007,1.34144,0.0214631,0.00134144
2,A40,CUDA Explicit Memory,4,1,1,1024,2,double,1,1,2.26714,1.80668,0.0289069,0.00180668
3,A40,CUDA Explicit Memory,5,1,1,1024,2,double,1,1,2.29178,2.23407,0.0357452,0.00223407
4,A40,CUDA Explicit Memory,6,1,1,1024,2,double,1,1,2.2595,2.71919,0.0435071,0.00271919
5,A40,CUDA Explicit Memory,7,1,1,1024,2,double,1,1,2.31692,3.09376,0.0495001,0.00309376
6,A40,CUDA Explicit Memory,8,1,1,1024,2,double,1,1,2.2993,3.56282,0.0570052,0.00356282
7,A40,CUDA Explicit Memory,9,1,1,1024,2,double,1,1,2.26822,4.06309,0.0650095,0.00406309
8,A40,CUDA Explicit Memory,10,1,1,1024,2,double,1,1,2.30802,4.43671,0.0709873,0.00443671
9,A40,CUDA Explicit Memory,11,1,1,1024,2,double,1,1,2.25848,4.98742,0.0797987,0.00498742
10,A40,CUDA Explicit Memory,12,1,1,1024,2,double,1,1,2.31216,5.31452,0.0850324,0.00531452
11,A40,CUDA Explicit Memory,13,1,1,1024,2,double,1,1,2.29616,5.7975,0.0927599,0.0057975
12,A40,CUDA Explicit Memory,14,1,1,1024,2,double,1,1,2.18355,6.56545,0.105047,0.00656545
13,A40,CUDA Explicit Memory,16,1,1,1024,2,double,1,1,2.28107,7.18261,0.114922,0.00718261
14,A40,CUDA Explicit Memory,17,1,1,1024,2,double,1,1,2.31175,7.53024,0.120484,0.00753024
15,A40,CUDA Explicit Memory,18,1,1,1024,2,double,1,1,2.29584,8.02842,0.128455,0.00802842
16,A40,CUDA Explicit Memory,19,1,1,1024,2,double,1,1,2.30157,8.45338,0.135254,0.00845338
17,A40,CUDA Explicit Memory,21,1,1,1024,2,double,1,1,2.32997,9.22931,0.147669,0.00922931
18,A40,CUDA Explicit Memory,22,1,1,1024,2,double,1,1,2.29287,9.82525,0.157204,0.00982525
19,A40,CUDA Explicit Memory,24,1,1,1024,2,double,1,1,2.25585,10.8943,0.17431,0.0108943
20,A40,CUDA Explicit Memory,25,1,1,1024,2,double,1,1,2.25688,11.3431,0.181489,0.0113431
21,A40,CUDA Explicit Memory,27,1,1,1024,2,double,1,1,2.28994,12.0737,0.193179,0.0120737
