,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
0,A100-SXM4-80GB,CUDA Explicit Memory,2,1,1,1024,2,double,2.25785,0.907058,0.0145129,0.000907058
1,A100-SXM4-80GB,CUDA Explicit Memory,3,1,1,1024,2,double,2.64798,1.16013,0.0185621,0.00116013
2,A100-SXM4-80GB,CUDA Explicit Memory,4,1,1,1024,2,double,2.8326,1.44602,0.0231364,0.00144602
3,A100-SXM4-80GB,CUDA Explicit Memory,5,1,1,1024,2,double,2.78905,1.83575,0.029372,0.00183575
4,A100-SXM4-80GB,CUDA Explicit Memory,6,1,1,1024,2,double,2.76679,2.22063,0.03553,0.00222063
5,A100-SXM4-80GB,CUDA Explicit Memory,7,1,1,1024,2,double,2.85858,2.50754,0.0401206,0.00250754
6,A100-SXM4-80GB,CUDA Explicit Memory,8,1,1,1024,2,double,2.9149,2.81039,0.0449662,0.00281039
7,A100-SXM4-80GB,CUDA Explicit Memory,9,1,1,1024,2,double,2.7208,3.38723,0.0541957,0.00338723
8,A100-SXM4-80GB,CUDA Explicit Memory,10,1,1,1024,2,double,2.80462,3.65112,0.0584179,0.00365112
9,A100-SXM4-80GB,CUDA Explicit Memory,11,1,1,1024,2,double,2.72691,4.13069,0.066091,0.00413069
10,A100-SXM4-80GB,CUDA Explicit Memory,12,1,1,1024,2,double,2.72392,4.51115,0.0721783,0.00451115
11,A100-SXM4-80GB,CUDA Explicit Memory,13,1,1,1024,2,double,2.79073,4.77007,0.0763212,0.00477007
12,A100-SXM4-80GB,CUDA Explicit Memory,14,1,1,1024,2,double,2.75921,5.19569,0.083131,0.00519569
13,A100-SXM4-80GB,CUDA Explicit Memory,16,1,1,1024,2,double,2.81616,5.81785,0.0930856,0.00581785
14,A100-SXM4-80GB,CUDA Explicit Memory,17,1,1,1024,2,double,2.83538,6.13956,0.098233,0.00613956
15,A100-SXM4-80GB,CUDA Explicit Memory,18,1,1,1024,2,double,2.76267,6.67181,0.106749,0.00667181
16,A100-SXM4-80GB,CUDA Explicit Memory,19,1,1,1024,2,double,2.76367,7.03992,0.112639,0.00703992
17,A100-SXM4-80GB,CUDA Explicit Memory,21,1,1,1024,2,double,2.78894,7.71046,0.123367,0.00771046
18,A100-SXM4-80GB,CUDA Explicit Memory,22,1,1,1024,2,double,2.73443,8.23865,0.131818,0.00823865
