,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
0,H100,CUDA Explicit Memory,2,1,1,1024,2,double,2.19405,0.933433,0.0149349,0.000933433
1,H100,CUDA Explicit Memory,3,1,1,1024,2,double,2.223,1.38192,0.0221107,0.00138192
2,H100,CUDA Explicit Memory,4,1,1,1024,2,double,2.39815,1.70798,0.0273277,0.00170798
3,H100,CUDA Explicit Memory,5,1,1,1024,2,double,2.2903,2.23551,0.0357682,0.00223551
4,H100,CUDA Explicit Memory,6,1,1,1024,2,double,2.20023,2.79243,0.0446789,0.00279243
5,H100,CUDA Explicit Memory,7,1,1,1024,2,double,2.22263,3.22501,0.0516001,0.00322501
6,H100,CUDA Explicit Memory,8,1,1,1024,2,double,2.42447,3.37888,0.0540621,0.00337888
7,H100,CUDA Explicit Memory,9,1,1,1024,2,double,2.31792,3.97598,0.0636156,0.00397598
8,H100,CUDA Explicit Memory,10,1,1,1024,2,double,2.39496,4.27564,0.0684103,0.00427564
9,H100,CUDA Explicit Memory,11,1,1,1024,2,double,2.1883,5.14737,0.0823579,0.00514737
10,H100,CUDA Explicit Memory,12,1,1,1024,2,double,2.22547,5.52153,0.0883444,0.00552153
11,H100,CUDA Explicit Memory,13,1,1,1024,2,double,2.35314,5.65712,0.0905139,0.00565712
12,H100,CUDA Explicit Memory,14,1,1,1024,2,double,2.40409,5.96317,0.0954107,0.00596317
13,H100,CUDA Explicit Memory,16,1,1,1024,2,double,2.25468,7.26666,0.116267,0.00726666
14,H100,CUDA Explicit Memory,17,1,1,1024,2,double,2.33614,7.45161,0.119226,0.00745161
15,H100,CUDA Explicit Memory,18,1,1,1024,2,double,2.19522,8.39642,0.134343,0.00839642
16,H100,CUDA Explicit Memory,19,1,1,1024,2,double,2.19563,8.86123,0.14178,0.00886123
17,H100,CUDA Explicit Memory,21,1,1,1024,2,double,2.271,9.46895,0.151503,0.00946895
18,H100,CUDA Explicit Memory,22,1,1,1024,2,double,2.25028,10.0112,0.160179,0.0100112
19,H100,CUDA Explicit Memory,24,1,1,1024,2,double,2.2323,11.0093,0.176149,0.0110093
20,H100,CUDA Explicit Memory,25,1,1,1024,2,double,2.21864,11.5386,0.184618,0.0115386
21,H100,CUDA Explicit Memory,27,1,1,1024,2,double,2.20043,12.5648,0.201037,0.0125648
22,H100,CUDA Explicit Memory,29,1,1,1024,2,double,2.29235,12.9544,0.20727,0.0129544
23,H100,CUDA Explicit Memory,32,1,1,1024,2,double,2.29561,14.2742,0.228387,0.0142742
